,hyb_index,BaselineName,Hybrid,MarketName,PipelineProductStageName,TraitName,Location,num_sres,season,seed_target,y_predicted_class,y_predicted,seed_target_class,TPD_RECOMMENDATION,num_plots_optimized,metst_optimized,num_plots_optimized_half,seed_production_optimized,Recomendacao_Planejamento
0,1,B001,H001,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1408,1,24,22.0,1.0,11.0,27195.300000000003,24
1,2,B002,H002,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1005,1,24,30.0,1.0,15.0,53431.2,24
2,3,B003,H003,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1448,2,24,16.0,1.0,8.0,26941.92,24
3,4,B004,H004,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1369,1,24,14.0,1.0,7.0,26415.48,24
4,5,B005,H005,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1534,1,24,12.0,1.0,6.0,26390.879999999997,24
5,6,B006,H006,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1788,1,24,30.0,1.0,15.0,51180.3,24
6,7,B007,H007,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1387,2,24,18.0,1.0,9.0,27652.86,24
7,8,B008,H008,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1249,1,24,24.0,1.0,12.0,51276.23999999999,24
8,9,B009,H009,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1737,2,24,34.0,1.0,17.0,52275.0,24
9,10,B010,H010,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1250,2,24,30.0,1.0,15.0,53910.9,24
10,11,B011,H011,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1461,2,24,14.0,1.0,7.0,27517.559999999998,24
11,12,B012,H012,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1598,1,24,30.0,1.0,15.0,53726.399999999994,24
12,13,B013,H013,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1456,2,24,26.0,1.0,13.0,54877.67999999999,24
13,14,B014,H014,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1716,2,24,14.0,1.0,7.0,28258.02,24
14,15,B015,H015,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1641,1,24,36.0,1.0,18.0,52427.52,24
15,16,B016,H016,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1184,2,24,14.0,1.0,7.0,26002.2,24
16,17,B017,H017,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1510,1,24,24.0,1.0,12.0,51010.56,24
17,18,B018,H018,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1728,2,24,24.0,1.0,12.0,52191.36,24
18,19,B019,H019,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1768,2,24,32.0,1.0,16.0,52073.28,24
19,20,B020,H020,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1323,2,24,16.0,1.0,8.0,26135.04,24
20,21,B021,H021,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1328,1,24,16.0,1.0,8.0,27315.84,24
21,22,B022,H022,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1388,1,24,26.0,1.0,13.0,54142.14,24
22,23,B023,H023,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1693,2,24,30.0,1.0,15.0,53837.1,24
23,24,B024,H024,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1459,2,24,12.0,1.0,6.0,25770.96,24
24,25,B025,H025,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1746,1,24,12.0,1.0,6.0,29992.32,24
25,26,B026,H026,Summer,PS3,V4,PEPT,0,2022_04,10220,>1900,2032,1,24,28.0,1.0,14.0,52693.2,24
26,27,B027,H027,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1530,2,24,22.0,1.0,11.0,55608.3,24
27,28,B028,H028,Safrinha,PS3,V4,PEPT,0,2022_04,20376,>1900,2055,2,24,30.0,1.0,15.0,54427.5,24
28,29,B029,H029,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1475,2,24,28.0,1.0,14.0,54070.799999999996,24
29,30,B030,H030,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1570,2,24,18.0,1.0,9.0,25682.399999999998,24
30,31,B031,H031,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1160,1,24,14.0,1.0,7.0,28860.72,24
31,32,B032,H032,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1676,1,24,14.0,1.0,7.0,26381.039999999997,24
32,33,B033,H033,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1532,1,24,34.0,1.0,17.0,53487.78,24
33,34,B034,H034,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1279,2,24,28.0,1.0,14.0,52865.4,24
34,35,B035,H035,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1535,2,24,30.0,1.0,15.0,53578.8,24
35,36,B036,H036,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1452,2,24,30.0,1.0,15.0,53172.9,24
36,37,B037,H037,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1441,2,24,18.0,1.0,9.0,26568.0,24
37,38,B038,H038,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1200,1,24,24.0,1.0,12.0,51955.200000000004,24
38,39,B039,H039,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1760,2,24,30.0,1.0,15.0,54169.2,24
39,40,B040,H040,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1468,2,24,14.0,1.0,7.0,27138.72,24
40,41,B041,H041,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1576,1,24,20.0,1.0,10.0,25879.2,24
41,42,B042,H042,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1052,1,24,26.0,1.0,13.0,52798.98,24
42,43,B043,H043,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1651,2,24,26.0,1.0,13.0,53118.78,24
43,44,B044,H044,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1661,2,24,18.0,1.0,9.0,26280.18,24
44,45,B045,H045,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1187,1,24,16.0,1.0,8.0,27374.88,24
45,46,B046,H046,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1391,1,24,12.0,1.0,6.0,25726.68,24
46,47,B047,H047,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1743,1,24,28.0,1.0,14.0,54828.48,24
47,48,B048,H048,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1592,2,24,12.0,1.0,6.0,29549.52,24
48,49,B049,H049,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,>1900,2002,1,24,34.0,1.0,17.0,53153.22,24
49,50,B050,H050,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1271,2,24,30.0,1.0,15.0,52619.4,24
50,51,B051,H051,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1500,1426,2,24,30.0,1.0,15.0,51106.5,24
51,52,B052,H052,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1385,2,24,12.0,1.0,6.0,30258.0,24
52,53,B053,H053,Safrinha,PS3,V4,PEPT,0,2022_04,10220,>1900,2050,1,24,16.0,1.0,8.0,28673.76,24
53,54,B054,H054,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1457,1,24,16.0,1.0,8.0,26312.16,24
54,55,B055,H055,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1337,1,24,34.0,1.0,17.0,51689.52,24
55,56,B056,H056,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1236,2,24,20.0,1.0,10.0,27650.4,24
56,57,B057,H057,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1124,1,24,34.0,1.0,17.0,53655.06,24
57,58,B058,H058,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1283,2,24,24.0,1.0,12.0,51541.92,24
58,59,B059,H059,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1746,2,24,26.0,1.0,13.0,51104.04,24
59,60,B060,H060,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1598,2,24,14.0,1.0,7.0,28654.08,24
60,61,B061,H061,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1900,1664,1,24,36.0,1.0,18.0,52294.67999999999,24
61,62,B062,H062,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1181,2,24,18.0,1.0,9.0,27431.46,24
62,63,B063,H063,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1239,1,24,32.0,1.0,16.0,53529.6,24
63,64,B064,H064,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1360,2,24,12.0,1.0,6.0,27542.159999999996,24
64,65,B065,H065,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1866,1,24,28.0,1.0,14.0,54380.76,24
65,66,B066,H066,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1579,2,24,14.0,1.0,7.0,27810.3,24
66,67,B067,H067,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1615,1,24,16.0,1.0,8.0,28496.64,24
67,68,B068,H068,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1448,1,24,44.0,1.0,22.0,51035.159999999996,24
68,69,B069,H069,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,943,2,24,36.0,1.0,18.0,53136.0,24
69,70,B070,H070,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1200,2,24,18.0,1.0,9.0,26656.56,24
70,71,B071,H071,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1204,1,24,14.0,1.0,7.0,28361.34,24
71,72,B072,H072,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1647,1,24,12.0,1.0,6.0,26833.68,24
72,73,B073,H073,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1818,1,24,30.0,1.0,15.0,51770.700000000004,24
73,74,B074,H074,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1403,2,24,14.0,1.0,7.0,27689.76,24
74,75,B075,H075,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1608,1,24,14.0,1.0,7.0,27982.5,24
75,76,B076,H076,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1625,1,24,18.0,1.0,9.0,26700.839999999997,24
76,77,B077,H077,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1206,1,24,20.0,1.0,10.0,28363.800000000003,24
77,78,B078,H078,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1153,1,24,14.0,1.0,7.0,27379.8,24
78,79,B079,H079,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1590,1,24,24.0,1.0,12.0,52368.479999999996,24
79,80,B080,H080,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1774,2,24,14.0,1.0,7.0,26949.3,24
80,81,B081,H081,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1565,1,24,30.0,1.0,15.0,53910.9,24
81,82,B082,H082,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1461,2,24,14.0,1.0,7.0,25967.76,24
82,83,B083,H083,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1508,1,24,22.0,1.0,11.0,27574.14,24
83,84,B084,H084,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1019,1,24,16.0,1.0,8.0,27925.92,24
84,85,B085,H085,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1419,1,24,36.0,1.0,18.0,52471.799999999996,24
85,86,B086,H086,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1185,2,24,28.0,1.0,14.0,53382.0,24
86,87,B087,H087,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1550,2,24,18.0,1.0,9.0,28604.88,24
87,88,B088,H088,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1292,1,24,32.0,1.0,16.0,53254.08,24
88,89,B089,H089,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1353,2,24,32.0,1.0,16.0,54277.44,24
89,90,B090,H090,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1379,2,24,24.0,1.0,12.0,27217.44,24
90,91,B091,H091,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,922,1,24,26.0,1.0,13.0,54845.7,24
91,92,B092,H092,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1715,2,24,26.0,1.0,13.0,54845.7,24
92,93,B093,H093,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1715,2,24,14.0,1.0,7.0,28326.899999999998,24
93,94,B094,H094,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1900,1645,1,24,20.0,1.0,10.0,27945.6,24
94,95,B095,H095,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1136,1,24,12.0,1.0,6.0,28162.08,24
95,96,B096,H096,Summer,PS3,V4,PEPT,0,2022_04,10220,>1900,1908,1,24,28.0,1.0,14.0,27173.16,24
96,97,B097,H097,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,789,1,24,12.0,1.0,6.0,26066.159999999996,24
97,98,B098,H098,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1766,1,24,12.0,1.0,6.0,28722.96,24
98,99,B099,H099,Summer,PS3,V4,PEPT,0,2022_04,10220,>1900,1946,1,24,22.0,1.0,11.0,54607.079999999994,24
99,100,B100,H100,Summer,PS3,V4,PEPT,0,2022_04,20376,>1900,2018,2,24,12.0,1.0,6.0,28117.800000000003,24
100,101,B101,H101,Safrinha,PS3,V4,PEPT,0,2022_04,10220,>1900,1905,1,24,30.0,1.0,15.0,53541.9,24
101,102,B102,H102,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1451,2,24,14.0,1.0,7.0,28602.42,24
102,103,B103,H103,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1661,1,24,40.0,1.0,20.0,51906.0,24
103,104,B104,H104,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1055,2,24,32.0,1.0,16.0,51404.159999999996,24
104,105,B105,H105,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1306,2,24,24.0,1.0,12.0,52575.12,24
105,106,B106,H106,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1781,2,24,16.0,1.0,8.0,28595.04,24
106,107,B107,H107,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1453,1,24,26.0,1.0,13.0,52127.399999999994,24
107,108,B108,H108,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1630,2,24,30.0,1.0,15.0,51475.5,24
108,109,B109,H109,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1395,2,24,14.0,1.0,7.0,27000.96,24
109,110,B110,H110,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1568,1,24,26.0,1.0,13.0,53086.799999999996,24
110,111,B111,H111,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1660,2,24,22.0,1.0,11.0,51657.54,24
111,112,B112,H112,Summer,PS3,CONV,PEPT,0,2022_04,20376,>1900,1909,2,24,30.0,1.0,15.0,51069.6,24
112,113,B113,H113,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1384,2,24,18.0,1.0,9.0,26612.28,24
113,114,B114,H114,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1202,1,24,14.0,1.0,7.0,27999.72,24
114,115,B115,H115,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1626,1,24,22.0,1.0,11.0,51603.420000000006,24
115,116,B116,H116,Summer,PS3,V4,PEPT,0,2022_04,20376,>1900,1907,2,24,16.0,1.0,8.0,27040.32,24
116,117,B117,H117,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1374,1,24,16.0,1.0,8.0,28260.48,24
117,118,B118,H118,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1436,1,24,32.0,1.0,16.0,52545.6,24
118,119,B119,H119,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1335,2,24,20.0,1.0,10.0,52840.8,24
119,120,B120,H120,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,>1900,2148,2,24,12.0,1.0,6.0,27999.72,24
120,121,B121,H121,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1897,1,24,30.0,1.0,15.0,53578.8,24
121,122,B122,H122,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1452,2,24,18.0,1.0,9.0,28427.76,24
122,123,B123,H123,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1284,1,24,14.0,1.0,7.0,26432.7,24
123,124,B124,H124,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1535,1,24,26.0,1.0,13.0,52319.28,24
124,125,B125,H125,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1636,2,24,26.0,1.0,13.0,52159.38,24
125,126,B126,H126,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1631,2,24,16.0,1.0,8.0,27197.76,24
126,127,B127,H127,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1382,1,24,14.0,1.0,7.0,25640.58,24
127,128,B128,H128,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1489,1,24,26.0,1.0,13.0,51104.04,24
128,129,B129,H129,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1598,2,24,18.0,1.0,9.0,28206.36,24
129,130,B130,H130,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1274,1,24,12.0,1.0,6.0,26110.44,24
130,131,B131,H131,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1769,1,24,24.0,1.0,12.0,53667.36,24
131,132,B132,H132,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1818,2,24,14.0,1.0,7.0,27483.12,24
132,133,B133,H133,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1596,1,24,16.0,1.0,8.0,28890.239999999998,24
133,134,B134,H134,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1468,1,24,44.0,1.0,22.0,51901.079999999994,24
134,135,B135,H135,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,959,2,24,28.0,1.0,14.0,52279.92,24
135,136,B136,H136,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1518,2,24,32.0,1.0,16.0,53490.24,24
136,137,B137,H137,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1500,1359,2,24,34.0,1.0,17.0,51187.68,24
137,138,B138,H138,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1224,2,24,34.0,1.0,17.0,52484.100000000006,24
138,139,B139,H139,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1255,2,24,14.0,1.0,7.0,28309.68,24
139,140,B140,H140,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1644,1,24,16.0,1.0,8.0,27611.04,24
140,141,B141,H141,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1403,1,24,30.0,1.0,15.0,54390.6,24
141,142,B142,H142,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1474,2,24,34.0,1.0,17.0,52944.12,24
142,143,B143,H143,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1266,2,24,16.0,1.0,8.0,26981.28,24
143,144,B144,H144,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1371,1,24,36.0,1.0,18.0,52870.31999999999,24
144,145,B145,H145,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1194,2,24,28.0,1.0,14.0,53829.72,24
145,146,B146,H146,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1563,2,24,30.0,1.0,15.0,51475.5,24
146,147,B147,H147,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1395,2,24,20.0,1.0,10.0,53849.399999999994,24
147,148,B148,H148,Summer,PS3,V4,PEPT,0,2022_04,20376,>1900,2189,2,24,14.0,1.0,7.0,26243.28,24
148,149,B149,H149,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1524,1,24,14.0,1.0,7.0,28258.02,24
149,150,B150,H150,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1900,1641,1,24,14.0,1.0,7.0,26122.74,24
150,151,B151,H151,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1517,1,24,16.0,1.0,8.0,27394.56,24
151,152,B152,H152,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1392,1,24,28.0,1.0,14.0,53106.48,24
152,153,B153,H153,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1542,2,24,14.0,1.0,7.0,26260.5,24
153,154,B154,H154,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1525,1,24,30.0,1.0,15.0,51512.399999999994,24
154,155,B155,H155,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1500,1396,2,24,26.0,1.0,13.0,52767.0,24
155,156,B156,H156,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1650,2,24,16.0,1.0,8.0,25643.04,24
156,157,B157,H157,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1303,1,24,28.0,1.0,14.0,51901.079999999994,24
157,158,B158,H158,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1507,2,24,26.0,1.0,13.0,51711.66,24
158,159,B159,H159,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1617,2,24,34.0,1.0,17.0,51313.14,24
159,160,B160,H160,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1227,2,24,30.0,1.0,15.0,51254.1,24
160,161,B161,H161,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1500,1389,2,24,22.0,1.0,11.0,52036.38,24
161,162,B162,H162,Safrinha,PS3,V4,PEPT,0,2022_04,20376,>1900,1923,2,24,12.0,1.0,6.0,26479.44,24
162,163,B163,H163,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1794,1,24,14.0,1.0,7.0,28619.64,24
163,164,B164,H164,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1662,1,24,16.0,1.0,8.0,27492.96,24
164,165,B165,H165,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1397,1,24,16.0,1.0,8.0,25761.12,24
165,166,B166,H166,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1309,1,24,14.0,1.0,7.0,26449.92,24
166,167,B167,H167,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1536,1,24,30.0,1.0,15.0,52914.6,24
167,168,B168,H168,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1434,2,24,40.0,1.0,20.0,51610.8,24
168,169,B169,H169,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1049,2,24,16.0,1.0,8.0,27394.56,24
169,170,B170,H170,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1392,1,24,26.0,1.0,13.0,55069.56,24
